Id_number,Task_name,RT,acc
subject166,2B-Scene,0.89765838,0.918367347
subject166,EasyMath,1.914763726,0.983050847
subject166,FingerTap,0.351464582,1.0
subject166,GoNoGo,0.987575553,0.8777841234999999
subject166,HardMath,2.088156559,0.836363636
subject167,0B,0.96771995,1.0
subject167,1B,1.612109233,0.333333333
subject167,2B-Face,0.911767712,0.829268293
subject167,2B-Scene,0.623139823,0.8
subject167,EasyMath,1.898312951,0.979166667
subject167,FingerTap,0.457392566,1.0
subject167,GoNoGo,0.982168711,0.537096774
subject167,HardMath,2.589521337,1.0
subject168,0B,0.81144245,1.0
subject168,1B,0.887111455,1.0
subject168,2B-Face,0.892601271,0.84
subject168,2B-Scene,0.818718892,0.913793103
subject168,EasyMath,1.91342228,1.0
subject168,FingerTap,0.380787434,1.0
subject168,GoNoGo,1.060025718,0.8537699925
subject168,HardMath,2.110647567,0.901960784
subject169,0B,0.70799806,1.0
subject169,1B,0.8291223,0.769230769
subject169,2B-Face,0.891617155,0.88
subject169,2B-Scene,0.803011812,0.859649123
subject169,EasyMath,1.969779424,0.983050847
subject169,FingerTap,0.393934335,1.0
subject169,GoNoGo,1.001263043,0.795138889
subject169,HardMath,2.265706576,0.82
subject017,0B,0.883417773,1.0
subject017,1B,1.246887822,1.0
subject017,2B-Face,1.064473255,0.888888889
subject017,2B-Scene,1.02093749,0.891304348
subject017,EasyMath,1.821316471,1.0
subject017,FingerTap,0.356889578,1.0
subject017,GoNoGo,0.999004311,0.89516678
subject017,HardMath,2.200471128,0.94
subject170,0B,0.72274358,1.0
subject170,1B,1.180033958,1.0
subject170,2B-Face,1.252087353,0.863636364
subject170,2B-Scene,1.249072356,0.842105263
subject170,EasyMath,1.911218207,0.95
subject170,FingerTap,0.427344527,1.0
subject170,GoNoGo,0.969545089,0.5978142075
subject170,HardMath,2.160297651,0.87755102
subject171,0B,0.97737849,0.909090909
subject171,1B,0.914748055,1.0
subject171,2B-Face,0.68338868,0.652173913
subject171,2B-Scene,0.449212239,0.759259259
subject171,EasyMath,1.940284467,0.928571429
subject171,FingerTap,0.432805134,1.0
subject171,GoNoGo,1.060240896,0.60143585
subject171,HardMath,2.025459848,0.90625
subject172,0B,1.220155029,0.7
subject172,1B,0.997021477,1.0
subject172,2B-Face,0.557686444,0.872727273
subject172,2B-Scene,0.675109356,0.8125
subject172,EasyMath,2.129955695,0.79245283
subject172,FingerTap,0.43110319,1.0
subject172,GoNoGo,1.011156028,0.642156863
subject172,HardMath,2.398901161,0.655172414
subject173,0B,0.61580805,0.833333333
subject173,1B,0.76824433,1.0
subject173,2B-Face,0.647437759,0.759259259
subject173,2B-Scene,0.638295432,0.824561404
subject173,EasyMath,1.914820322,1.0
subject173,FingerTap,0.393773488,1.0
subject173,GoNoGo,1.024320718,0.7265221875000001
subject173,HardMath,2.75814362,0.851851852
subject174,0B,0.632061557,0.636363636
subject174,1B,0.936809338,1.0
subject174,2B-Face,1.464700718,0.682926829
subject174,2B-Scene,1.425382933,0.731707317
subject174,EasyMath,1.916678491,1.0
subject174,FingerTap,0.425791143,1.0
subject174,GoNoGo,0.999815966,0.755387931
subject174,HardMath,2.018028382,0.982758621
subject175,0B,0.865730022,0.9
subject175,1B,0.979471027,1.0
subject175,2B-Face,1.201722218,0.869565217
subject175,2B-Scene,1.208765985,0.702702703
subject175,EasyMath,1.875567928,0.961538462
subject175,FingerTap,0.283996292,1.0
subject175,GoNoGo,1.021829463,0.7468926555
subject175,HardMath,1.970971616,0.962264151
